id,title,summary,news_site,published_at,updated_at
34126,Saltzman: Aquisition Reform is a “Generational Opportunity”,"Changing the way the government acquires national security space systems — indeed, military systems writ large — to be faster and more cost effective has been a goal of countless […]",SpacePolicyOnline.com,2025-11-21T02:37:50Z,2025-11-21T02:40:15.544402Z
34125,Europa Clipper Captures Uranus With Star Tracker Camera,"Description NASA’s Europa Clipper captured this image of a starfield — and the planet Uranus — on Nov. 5, 2025, while experimenting with one of its two stellar reference units. These star-tracking cameras are used for maintaining spacecraft orientation. Within the camera’s field of view — representing 0.1% of the full sky around the spacecraft […]",NASA,2025-11-20T23:13:48Z,2025-11-21T00:10:07.087192Z
34124,Blue Origin announces New Glenn upgrade plans,"
A week after successfully launching and landing the current version of New Glenn, Blue Origin announced a series of upgrades to the vehicle.
The post Blue Origin announces New Glenn upgrade plans appeared first on SpaceNews.",SpaceNews,2025-11-20T23:04:21Z,2025-11-20T23:10:30.942399Z
34123,Live coverage: Falcon 9 Starlink mission marks 100th launch of the year from Florida’s Space Coast,"The Starlink 6-78 mission, carrying 29 satellites for SpaceX’s internet service, is targeted to roar away from launch complex 39A at 10:12 p.m. EST (0321 UTC). ",Spaceflight Now,2025-11-20T22:43:03Z,2025-11-20T22:50:25.820615Z
34122,NASA’s Quesst Mission Marks X-59’s Historic First Flight,"NASA’s X-59 quiet supersonic research aircraft took off for its historic first flight on Oct. 28, 2025, at 11:14 a.m. EDT from Lockheed Martin Skunk Works in Palmdale, California. The one-of-a-kind aircraft flew for 67 minutes before landing and taxiing to NASA’s Armstrong Flight Research Center in Edwards, California. NASA test pilot Nils Larson flew […]",NASA,2025-11-20T22:12:56Z,2025-11-20T22:20:06.578391Z
34121,China prepares to launch uncrewed Shenzhou as maiden launches slip for commercial launch providers,"China is preparing to launch an uncrewed Shenzhou spacecraft as its astronauts shuffle missions following…
The post China prepares to launch uncrewed Shenzhou as maiden launches slip for commercial launch providers appeared first on NASASpaceFlight.com.",NASASpaceflight,2025-11-20T22:09:24Z,2025-11-20T22:10:13.713465Z
34120,NASA’s Scott Tingle to Serve as Agency’s Chief Astronaut,"NASA named astronaut Scott Tingle as chief of the Astronaut Office at the agency’s Johnson Space Center in Houston, effective Nov. 10. A decorated spaceflight veteran and former captain in the United States Navy, Tingle has logged more than 4,500 flight hours in 51 different aircraft and served as a flight engineer aboard the International […]",NASA,2025-11-20T21:16:20Z,2025-11-20T21:20:05.457939Z
34119,Electron launches confidential commercial satellite,"
Rocket Lab launched a payload for an undisclosed commercial customer Nov. 20, just hours after the company announced plans for the launch.
The post Electron launches confidential commercial satellite appeared first on SpaceNews.",SpaceNews,2025-11-20T20:46:58Z,2025-11-20T20:50:20.624022Z
34117,"NASA Celebrates Five Years of Artemis Accords, Welcomes 3 New Nations","October marked the fifth anniversary of NASA and the original founders signing the Artemis Accords, as well as the recognition of Hungary, Malaysia and the Philippines joining the expanding coalition dedicated to the peaceful exploration of space. The number of countries involved now totals 59. “NASA welcomes the newest signatories, whose participation strengthens the global […]",NASA,2025-11-20T20:06:50Z,2025-11-20T20:10:05.899628Z
34115,NASA Sets Coverage for Crew Launch to Join Station Expedition,"NASA astronaut Chris Williams will launch aboard the Roscosmos Soyuz MS-28 spacecraft to the International Space Station on Thursday, Nov. 27, accompanied by cosmonauts Sergey Kud-Sverchkov and Sergei Mikaev, where they will join the Expedition 73 crew advancing scientific research. Williams, Kud-Sverchkov, and Mikaev will lift off at 4:27 a.m. EST (2:27 p.m. Baikonur time) […]",NASA,2025-11-20T19:34:00Z,2025-11-20T19:40:05.295823Z
