id,title,summary,news_site,published_at,updated_at,source
34998,Fly through Webb’s cosmic vistas,"On the launch anniversary of the NASA/ESA/CSA James Webb Space Telescope, ESA presents a unique compilation of zooms into stunning cosmic views.",ESA,2025-12-25T15:00:00Z,2025-12-25T15:20:13.329523Z,Spaceflight News API
34997,Avio to Launch Four Earth Observation Satellites for Taiwan,"The Taiwan Space Agency (TASA) has awarded Italian rocket builder Avio a launch contract for its FORMOSAT-8C and 8D, and FORMOSAT-9A and 9B Earth observation satellites. On 19 December, Avio announced that it had signed two launch contracts with undisclosed customers, with a combined value of over €100 million. While the company left it up […]
The post Avio to Launch Four Earth Observation Satellites for Taiwan appeared first on European Spaceflight.",European Spaceflight,2025-12-25T05:00:30Z,2025-12-25T05:01:50.829144Z,Spaceflight News API
34996,Innospace plans second launch in 2026 after failure of first Hanbit-Nano rocket,"
South Korea’s Innospace said it will attempt a second launch of its small rocket in the first half of 2026 after its inaugural flight failed shortly after liftoff Dec. 22.
The post Innospace plans second launch in 2026 after failure of first Hanbit-Nano rocket appeared first on SpaceNews.",SpaceNews,2025-12-24T17:03:15Z,2025-12-24T17:11:49.513683Z,Spaceflight News API
34995,Santa Visits Artemis II Rocket,"Santa Claus (NASA engineer Guy Naylor) poses with NASA’s Artemis II Orion spacecraft and SLS (Space Launch System) rocket in the Vehicle Assembly Building at NASA’s Kennedy Space Center in Florida on Dec. 11, 2025. The Orion spacecraft was stacked atop the SLS in October 2025. Set to launch in early 2026, the Artemis II […]",NASA,2025-12-24T13:59:43Z,2025-12-25T08:26:08.407364Z,Spaceflight News API
34994,Avio Launch Deal Highlights Uncertainty in Vega Upgrade Roadmap,"With the announcement of two new launch contracts for its Vega C rocket, totalling more than €100 million, Italian rocket builder Avio appears to have revealed that the launcher could remain operational until 2031. This, in turn, raises questions about when the company plans to introduce its successor, Vega E, and how long it would […]
The post Avio Launch Deal Highlights Uncertainty in Vega Upgrade Roadmap appeared first on European Spaceflight.",European Spaceflight,2025-12-24T06:00:54Z,2025-12-24T06:10:23.064275Z,Spaceflight News API
34993,Indian rocket launches AST SpaceMobile’s next-gen BlueBird-6 satellite,"An Indian LVM3 rocket launched AST SpaceMobile’s next-generation direct-to-device BlueBird satellite Dec. 23, kicking off a rollout of dozens of spacecraft built around the largest commercial communications antenna ever deployed in LEO.
The post Indian rocket launches AST SpaceMobile’s next-gen BlueBird-6 satellite appeared first on SpaceNews.",SpaceNews,2025-12-24T04:10:09Z,2025-12-25T08:26:33.802703Z,Spaceflight News API
34992,Flight 12 vehicles readying for 2026 opener,"SpaceX is rapidly advancing the assembly of Super Heavy Booster 19 at its Starbase facility,…
The post Flight 12 vehicles readying for 2026 opener appeared first on NASASpaceFlight.com.",NASASpaceflight,2025-12-23T23:43:44Z,2025-12-25T08:25:47.302586Z,Spaceflight News API
34991,ESA to hire 520 new staff as workforce expansion begins in 2026,"
MILAN — The European Space Agency announced plans to hire approximately 520 new staff members starting in 2026, following decisions approved at ESA’s 342nd Council meeting earlier this month.  The recruitment will result in a net increase of about 400 staff, alongside the replacement of roughly 120 positions due to retirements. The move will bring […]
The post ESA to hire 520 new staff as workforce expansion begins in 2026 appeared first on SpaceNews.",SpaceNews,2025-12-23T20:41:32Z,2025-12-23T20:51:31.792889Z,Spaceflight News API
34990,OPERA: Addressing Societal Needs with Satellite Data,"Introduction The Observational Products for End-Users from Remote Sensing Analysis (OPERA) project represents a strategic initiative designed to address critical satellite data needs identified by federal agencies. Established in 2021 by the NASA/Jet Propulsion Laboratory (JPL), OPERA responds to priorities identified by the Satellite Needs Working Group (SNWG), an interagency body convened by the White […]",NASA,2025-12-23T18:55:41Z,2025-12-23T19:10:43.974704Z,Spaceflight News API
34989,"Get In, We’re Going to the Moon: Meet NASA’s Artemis Closeout Crew","For most, getting into a car is a task that can be done without assistance. Yet for those whose destination is the Moon, the process of getting inside and secured – in this case, in NASA’s Orion spacecraft – requires help. That’s the role of the Artemis closeout crew. Trained to support Artemis II and […]",NASA,2025-12-23T18:44:07Z,2025-12-25T08:25:37.715117Z,Spaceflight News API
34988,Artemis II Crew Launch Day Rehearsal,"From left to right, CSA (Canadian Space Agency) astronaut Jeremy Hansen and NASA astronauts Christina Koch, Victor Glover, and Reid Wiseman stand outside before boarding their Orion spacecraft inside the Vehicle Assembly Building at NASA’s Kennedy Space Center in Florida as part of the Artemis II countdown demonstration test, Saturday, Dec. 20, 2025. Because the […]",NASA,2025-12-23T16:18:41Z,2025-12-25T08:25:28.014400Z,Spaceflight News API
34987,"Artemis II Flight Crew, Teams Conduct Demonstration Ahead of Launch","NASA’s launch and mission teams, along with the Artemis II crew, completed a key test Dec. 20, a countdown demonstration test, ahead of the Artemis II flight around the Moon early next year. The astronauts, supported by launch and flight control teams, dressed in their launch and entry suits, boarded their spacecraft on top of […]",NASA,2025-12-23T16:00:31Z,2025-12-25T08:25:18.713088Z,Spaceflight News API
34986,NASA Astronaut Nick Hague Retires,"NASA astronaut Brig. Gen. Nick Hague has retired from the agency, concluding a distinguished career that included two spaceflight missions, 374 days in space, and multiple spacewalks in support of the International Space Station. Hague continues service in the U.S. Space Force. Hague launched aboard the Soyuz MS-12 spacecraft in March 2019 from the Baikonur Cosmodrome in […]",NASA,2025-12-23T14:50:46Z,2025-12-25T08:24:58.504911Z,Spaceflight News API
34985,How physics AI is transforming the future of space engineering,"
In this episode of Space Minds, host David Ariosto speaks with Juan Alonso — CTO and Co-founder of Luminary Cloud and professor at Stanford University — about the rapid transformation underway in aerospace engineering. 
The post How physics AI is transforming the future of space engineering appeared first on SpaceNews.",SpaceNews,2025-12-23T14:41:46Z,2025-12-23T14:50:28.005167Z,Spaceflight News API
34984,NASA’s Hubble Reveals Largest Found Chaotic Birthplace of Planets,"Astronomers using NASA’s Hubble Space Telescope have imaged the largest protoplanetary disk ever observed circling a young star. For the first time in visible light, Hubble has revealed the disk is unexpectedly chaotic and turbulent, with wisps of material stretching much farther above and below the disk than astronomers have seen in any similar system. […]",NASA,2025-12-23T14:00:20Z,2025-12-23T14:49:24.701360Z,Spaceflight News API
34983,I Am Artemis: Grace Lauderdale,"Listen to this audio excerpt from Grace Lauderdale, exploration project manager for the Training Systems Office at NASA Johnson: In preparation for their mission around the Moon inside NASA’s Orion spacecraft, the Artemis II crew will spend countless hours training inside the Orion Mission Simulator. The simulator replicates what the crew will experience inside the spacecraft and […]",NASA,2025-12-23T14:00:00Z,2025-12-23T14:02:16.616783Z,Spaceflight News API
