event_date,event_type,description,source,created_at
2025-12-23T05:00:26Z,launch,Ariane 6 and Vega C P160C Booster Upgrade Fully Qualified,Spaceflight News API,2025-12-23T12:10:13.952227
2025-12-23T04:57:45Z,launch,"Long March 12A reaches orbit in first reusable launch attempt, but landing fails",Spaceflight News API,2025-12-23T12:10:13.952474
2025-12-23T01:37:40Z,policy_or_corporate,"Curiosity Blog, Sols 4750-4762: See You on the Other Side of the Sun",Spaceflight News API,2025-12-23T12:10:13.952517
2025-12-23T01:00:10Z,launch,Launch Roundup: International launches fill manifest during last full week of 2025,Spaceflight News API,2025-12-23T12:10:13.952546
2025-12-22T23:53:48Z,launch,"Tory Bruno Leaves ULA, John Elbon Takes Over As Interim CEO",Spaceflight News API,2025-12-23T12:10:13.952574
2025-12-22T20:55:06Z,satellite_deployment,Sentinels in the Sky: 50 Years of GOES Satellite Observations,Spaceflight News API,2025-12-23T12:10:13.952603
2025-12-22T20:38:26Z,launch,Tory Bruno Steps Down as ULA CEO following impressive tenure,Spaceflight News API,2025-12-23T12:10:13.952627
2025-12-22T19:57:58Z,launch,Keeping Up with PACE: Summary of the 2025 PAC3 Meeting,Spaceflight News API,2025-12-23T12:10:13.952651
2025-12-22T19:50:38Z,launch,"H3 rocket suffers upper stage anomaly, fails to correctly deploy navigation satellite",Spaceflight News API,2025-12-23T12:10:13.952672
2025-12-22T19:48:21Z,other,"Tory Bruno steps down as President, CEO of ULA",Spaceflight News API,2025-12-23T12:10:13.952699
2025-12-22T19:29:23Z,launch,Sentinel-6B Extends Global Ocean Height Record,Spaceflight News API,2025-12-23T12:10:13.952723
2025-12-22T19:00:00Z,policy_or_corporate,CACI to buy space technology firm ARKA for $2.6 billion,Spaceflight News API,2025-12-23T12:10:13.952749
2025-12-22T17:55:58Z,launch,NASA Kennedy Top 20 Stories of 2025,Spaceflight News API,2025-12-23T12:10:13.952773
2025-12-22T17:52:54Z,launch,United Launch Alliance chief Tory Bruno resigns,Spaceflight News API,2025-12-23T12:10:13.952794
2025-12-22T16:26:49Z,other,A Dance of Galaxies,Spaceflight News API,2025-12-23T12:10:13.952824
