title,sourcecountry,seendate,url,source,has_space,has_security,has_adversary
天龙三号产业链梳理分析 _ 隆盛科技 ( 300680 ) 股吧 _ 东方财富网股吧,China,20251225T200000Z,"https://guba.eastmoney.com/o/news,300680,1644043749.html",GDELT DOC 2.0,False,False,False
GT Voice : What driving investor enthusiasm for China commercial aerospace sector ? ,China,20251225T200000Z,https://www.globaltimes.cn/page/202512/1351510.shtml,GDELT DOC 2.0,True,False,False
رئيس المركز الكاثوليكي للسينما : التحضيرات للاحتفال بعيد الميلاد بدأت منذ سبتمبر,Egypt,20251225T200000Z,https://www.dostor.org/5356475,GDELT DOC 2.0,False,False,False
محلل سياسي : هناك انتقادات واسعة على خريطة الجولان,Egypt,20251225T201500Z,https://studio.dostor.org/174247,GDELT DOC 2.0,False,False,False
Ermöglicht China Angriffe auf Energiesektor in der Ukraine ? ,Germany,20251225T200000Z,https://www.merkur.de/politik/ermoeglicht-china-angriffe-auf-energiesektor-in-der-ukraine-zr-94098632.html,GDELT DOC 2.0,False,False,False
Ermöglicht China Angriffe auf Energiesektor in der Ukraine ? ,Germany,20251225T200000Z,http://www.merkur.de/politik/ermoeglicht-china-angriffe-auf-energiesektor-in-der-ukraine-zr-94098632.html,GDELT DOC 2.0,False,False,False
Ermöglicht China Angriffe auf Energiesektor in der Ukraine ? ,Germany,20251225T200000Z,http://www.tz.de/politik/ermoeglicht-china-angriffe-auf-energiesektor-in-der-ukraine-zr-94098632.html,GDELT DOC 2.0,False,False,False
Ermöglicht China Angriffe auf Energiesektor in der Ukraine ? ,Germany,20251225T201500Z,http://www.hna.de/politik/ermoeglicht-china-angriffe-auf-energiesektor-in-der-ukraine-zr-94098632.html,GDELT DOC 2.0,False,False,False
Ermöglicht China Angriffe auf Energiesektor in der Ukraine ? ,Germany,20251225T200000Z,http://www.fnp.de/politik/ermoeglicht-china-angriffe-auf-energiesektor-in-der-ukraine-zr-94098632.html,GDELT DOC 2.0,False,False,False
مصطفى بكري : بعض ملاك الإيجار القديم بيطلعوا المستأجرين بالعافية .. ولا يعقل معاملة مناطق شعبية كمتوسطة ! ,Egypt,20251225T201500Z,https://www.shorouknews.com/news/view.aspx?cdate=25122025&id=896dcb68-2eb2-49c5-8aa0-bb3e82de7b5a,GDELT DOC 2.0,False,False,False
تفاصيل الاتفاقية الأمنية بين سوريا والاحتلال .. والتوقيع قريبا,Egypt,20251225T200000Z,https://www.dostor.org/5356466,GDELT DOC 2.0,False,False,False
TRIBUNALES | Condenado a tres años el piloto de una embarcación que embistió a la Guardia Civil en Almería,Spain,20251225T201500Z,https://www.superdeporte.es/sucesos/2025/12/25/condenado-tres-anos-piloto-embarcacion-125139268.html,GDELT DOC 2.0,False,False,False
"Xiaomi 17 Ultra trình làng , giá khởi điểm hơn 26 triệu đồng",Vietnam,20251225T201500Z,https://baomoi.com/xiaomi-17-ultra-trinh-lang-gia-khoi-diem-hon-26-trieu-dong-c54104928.epi,GDELT DOC 2.0,False,False,False
"Bauernregel verrät schon jetzt , wie das Wetter 2026 wird – Vorhersage hat es in sich",Germany,20251225T201500Z,http://www.az-online.de/welt/bauernregel-verraet-schon-jetzt-wie-das-wetter-2026-wird-vorhersage-hat-es-in-sich-zr-94098114.html,GDELT DOC 2.0,False,False,False
Ermöglicht China Angriffe auf Energiesektor in der Ukraine ? ,Germany,20251225T201500Z,http://www.az-online.de/politik/ermoeglicht-china-angriffe-auf-energiesektor-in-der-ukraine-zr-94098632.html,GDELT DOC 2.0,False,False,False
"25 years later : Playfair Race Course is long gone , but memories , records and a few treasures remain",United States,20251225T201500Z,https://www.spokesman.com/stories/2025/dec/25/25-years-later-playfair-race-course-is-long-gone-b/,GDELT DOC 2.0,False,False,False
نيويورك تايمز : جنرالات الأسد يخططون لتمرد في سوريا قوامه 168 ألف مقاتل,Jordan,20251225T200000Z,https://alanbatnews.net/article/469876,GDELT DOC 2.0,False,False,False
"UFO secret files , drone swarms and nuclear - linked sightings stun experts in 2025",United States,20251225T200000Z,https://nypost.com/2025/12/25/tech/ufo-secret-files-drone-swarms-and-nuclear-linked-sightings-stun-experts-in-2025/,GDELT DOC 2.0,False,False,False
Santa tracker live 2025 : смотрите онлайн трансляцию раздачи подарков по всему миру,Russia,20251225T200000Z,https://kavpolit.com/society-ru/2025/12/25/marshrut-santa-klausa-2025-kogda-upryazhka-olenej-budet-v-nebe-nad-kievom-i-ukrainoj/,GDELT DOC 2.0,False,False,False
Santa Tracker 2025 LIVE how to find Santa now with Google and NORAD,United States,20251225T200000Z,https://www.yahoo.com/lifestyle/articles/santa-tracker-2025-live-santa-230024015.html,GDELT DOC 2.0,False,False,False
